Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","504","Maroc","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.798","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","480","Maurice","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.876","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","478","Mauritanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.96","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","484","Mexique","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.766","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","496","Mongolie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.756","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","499","Monténégro","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.862","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","500","Montserrat","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.799","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","508","Mozambique","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.993","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","104","Myanmar","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.029","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","516","Namibie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.736","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","524","Népal","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.38","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","558","Nicaragua","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.016","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","562","Niger","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.138","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","566","Nigéria","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.994","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","578","Norvège","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.691","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","554","Nouvelle-Zélande","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.739","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","512","Oman","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.842","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","800","Ouganda","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.853","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","586","Pakistan","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.019","E","Valeur estimée"
